#SKILL
Name         reserved~
Type         Spell
Info         0
Flags        0
Minpos       112
Code         spell_null
End

#SKILL
Name         air spike~
Type         Spell
Info         0
Flags        0
Target       1
Mana         10
Rounds       8
Code         spell_air_spike
End

#SKILL
Name         armor~
Type         Spell
Info         0
Flags        512
Target       2
Mana         5
Rounds       8
Code         spell_armor
End

#SKILL
Name         blindness~
Type         Spell
Info         0
Flags        65536
Target       1
Mana         5
Rounds       8
Code         spell_blindness
End

#SKILL
Name         cure blindness~
Type         Spell
Info         0
Flags        65536
Target       2
Mana         5
Rounds       8
Code         spell_cure_blindness
End

#SKILL
Name         cure poison~
Type         Spell
Info         0
Flags        65536
Target       2
Mana         5
Rounds       8
Code         spell_cure_poison
End

#SKILL
Name         curse~
Type         Spell
Info         0
Flags        65536
Target       1
Mana         5
Rounds       8
Code         spell_curse
End

#SKILL
Name         dark hand~
Type         Spell
Info         0
Flags        0
Target       1
Mana         5
Rounds       8
Code         spell_dark_hand
End

#SKILL
Name         detect invis~
Type         Spell
Info         0
Flags        512
Target       2
Mana         5
Rounds       8
Code         spell_detect_invis
End

#SKILL
Name         dirt spike~
Type         Spell
Info         1
Flags        0
Target       1
Mana         10
Rounds       8
Code         spell_dirt_spike
End

#SKILL
Name         dispel magic~
Type         Spell
Info         0
Flags        65536
Target       1
Mana         10
Rounds       8
Code         spell_dispel_magic
End

#SKILL
Name         earth blast~
Type         Spell
Info         1
Flags        0
Target       1
Mana         10
Rounds       8
Code         spell_earth_blast
End

#SKILL
Name         earthquake~
Type         Spell
Info         0
Flags        0
Target       1
Mana         5
Rounds       8
Code         spell_earthquake
End

#SKILL
Name         enchant armor~
Type         Spell
Info         0
Flags        65536
Target       4
Mana         5
Rounds       8
Code         spell_enchant_armor
End

#SKILL
Name         enchant weapon~
Type         Spell
Info         0
Flags        65536
Target       4
Mana         5
Rounds       8
Code         spell_enchant_weapon
End

#SKILL
Name         fireball~
Type         Spell
Info         1
Flags        65536
Target       1
Mana         5
Rounds       8
Code         spell_fireball
End

#SKILL
Name         flamestrike~
Type         Spell
Info         1
Flags        0
Target       1
Mana         5
Rounds       8
Code         spell_flamestrike
End

#SKILL
Name         flood~
Type         Spell
Info         0
Flags        0
Target       1
Mana         10
